season,category,rank,player,slug,headshot_id,INT,INT TD,INT Yds,Lng
2025,interceptions,65,R.J. Mickens,r-j-mickens,ukzfqydyiezmemut0zoe,2,0,25,15
2025,interceptions,66,Andrew Mukuba,andrew-mukuba,eurn0h9z78sclv1eq5jp,2,0,41,41
2025,interceptions,67,Byron Murphy,byron-murphy,secfzfwznyhcgiow4rvq,2,0,15,15
2025,interceptions,68,Bobby Okereke,bobby-okereke,q5gc9nwmikqcyza7m3ku,2,0,54,47
2025,interceptions,69,Jacob Parrish,jacob-parrish,xspc6ojezhpflx0jorx4,2,0,3,3
2025,interceptions,70,Andru Phillips,andru-phillips,kh3iigah1t49ywg0scb9,2,0,56,56
2025,interceptions,71,Isaiah Pola-Mao,isaiah-pola-mao,iv2fsbkqbciaglpqrlbd,2,0,0,0
2025,interceptions,72,D.J. Reed,d-j-reed,haxt1fpxhgnobin0d5sx,2,0,34,34
2025,interceptions,73,Jonas Sanker,jonas-sanker,pq0uzqjisndztl1ru3oa,2,0,29,29
2025,interceptions,74,Jack Sawyer,jack-sawyer,bsfaucfu7cawckhpr73k,2,0,31,27
2025,interceptions,75,Carson Schwesinger,carson-schwesinger,ga2yg6qhxs12sqo6jvfz,2,0,16,9
2025,interceptions,76,Harrison Smith,harrison-smith,kadw1bk0cxsarjrwbdrq,2,0,12,11
2025,interceptions,77,Robert Spillane,robert-spillane,xdchysme8chq50omxcui,2,0,70,37
2025,interceptions,78,Malaki Starks,malaki-starks,lqdlc7railysoycjeny9,2,0,9,9
2025,interceptions,79,Geno Stone,geno-stone,sgf49brnj161yst22imt,2,1,57,32
2025,interceptions,80,Alontae Taylor,alontae-taylor,avogci7ghtzxoxdcdtnx,2,0,21,11
2025,interceptions,81,Dadrion Taylor-Demerson,dadrion-taylor-demerson,w4wcod46hxptpseyi6o3,2,0,18,18
2025,interceptions,82,Dondrea Tillman,dondrea-tillman,rqo88erhkag4dfighxdw,2,0,59,36
2025,interceptions,83,DJ Turner II,dj-turner-2,nijmaqsa0uggtjzmpzgy,2,0,7,7
2025,interceptions,84,Bobby Wagner,bobby-wagner,msulezmb9dk3klpgymoj,2,0,7,6
2025,interceptions,85,Jaylen Watson,jaylen-watson,vxmoq9pwno4z14gldecd,2,0,14,14
2025,interceptions,86,T.J. Watt,t-j-watt,aywegy4gpj1d32vrl67u,2,0,13,13
2025,interceptions,87,Donovan Wilson,donovan-wilson,fl10d0bhrvfrqkjamcgp,2,0,21,21
2025,interceptions,88,Antoine Winfield Jr.,antoine-winfield-jr,wn2vlv6eyc9str0ak0fx,2,0,5,5
2025,interceptions,89,Xavier Woods,xavier-woods,of7kdkfale5fnuz6u8gr,2,0,51,35
2025,interceptions,90,Paulson Adebo,paulson-adebo,yft8adxhq7go3eqd8d9k,1,0,0,0
2025,interceptions,91,Alex Anzalone,alex-anzalone,ltqvhzvqdxxtl1phtrgi,1,0,14,14
2025,interceptions,92,Terrion Arnold,terrion-arnold,h3rbtalyoblh2szat9qc,1,0,0,0
2025,interceptions,93,Budda Baker,budda-baker,tpr5aphfvgckzecyr5rd,1,0,0,0
2025,interceptions,94,Derrick Barnes,derrick-barnes-2,bh66oqiavycebvryiy96,1,0,23,23
2025,interceptions,95,Jahdae Barron,jahdae-barron,ashvve6dr35gtgdyjo10,1,0,0,0
2025,interceptions,96,Markquese Bell,markquese-bell,wdantov1g2bbtjf4chpx,1,0,24,24
2025,interceptions,97,Dane Belton,dane-belton,iiss6ltg2ajuabrisoqw,1,0,8,8
2025,interceptions,98,Terrel Bernard,terrel-bernard,rhs6gmpfig52ziimyzls,1,0,24,24
2025,interceptions,99,DaRon Bland,daron-bland,z07adznf3gtvfusy8azb,1,1,68,68
2025,interceptions,100,Reed Blankenship,reed-blankenship,qbrxcx1jmwabwtdwco3o,1,0,0,0
2025,interceptions,101,Nick Bolton,nick-bolton,pgkezol12laags229maz,1,0,0,0
2025,interceptions,102,Ethan Bonner,ethan-bonner,zfylu04usdezofligghl,1,0,0,0
2025,interceptions,103,Billy Bowman Jr.,billy-bowman-jr,mbkdinv8urtidys4hfwe,1,0,0,0
2025,interceptions,104,Trikweze Bridges,trikweze-bridges,vmjfea3sm8cg0hrlibgj,1,0,7,7
2025,interceptions,105,Jaquan Brisker,jaquan-brisker-x6231,ng47khcomgkkfrmelstp,1,0,32,32
2025,interceptions,106,Baron Browning,baron-browning,wc0wkbhogzdxgaik9fh5,1,0,4,4
2025,interceptions,107,Jihaad Campbell,jihaad-campbell,njvl2eabvfekcqqa4jmq,1,0,0,0
2025,interceptions,108,Tyson Campbell,tyson-campbell,qhtmkkoqakioplm2vfrw,1,1,34,34
2025,interceptions,109,Barrett Carter,barrett-carter,jdzoxrmno9l5qytgz0iv,1,0,16,16
