season,category,rank,player,slug,headshot_id,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
2025,kickoff-returns,109,Kenny Gainwell,kenneth-gainwell,eo62l8ec8e3lzt86ihth,24.4,26,633,0,22,0,36,0,0
2025,kickoff-returns,110,Owen Wright,owen-wright,nig1vy9k1asfhkanvlki,24.3,3,73,0,3,0,28,0,0
2025,kickoff-returns,111,George Holani,george-holani,pgwvv5qhcmnwf3tomy1a,24.2,16,387,0,13,0,34,0,0
2025,kickoff-returns,112,Tremon Smith,tremon-smith,pva3iicdybaabrrws0sg,24.2,18,435,0,12,0,37,0,1
2025,kickoff-returns,113,Ke'Shawn Williams,ke-shawn-williams,r7enwgccqv93feuoeurz,24.2,26,628,0,22,0,37,0,1
2025,kickoff-returns,114,Jaydon Blue,jaydon-blue,lscygdlqczomp0l9oykv,24,3,72,0,2,0,32,0,0
2025,kickoff-returns,115,Dylan Sampson,dylan-sampson,den1hzzomdxfcsgk88o5,24,15,360,0,11,0,34,0,0
2025,kickoff-returns,116,Grant Stuard,grant-stuard,n4pxuecujgacthcoxgql,24,3,72,0,3,0,28,0,0
2025,kickoff-returns,117,Efton Chism III,efton-chism-iii,zbnf3ujmwprzgjnwdtlo,23.9,16,383,0,13,0,31,0,0
2025,kickoff-returns,118,Kaleb Johnson,kaleb-johnson-2,zpzc4oobxi8nr5dyonob,23.8,8,190,0,7,0,29,0,1
2025,kickoff-returns,119,Trevor Etienne,trevor-etienne,pcuzq84x7ia5yvmikltb,23.6,31,733,0,24,1,45,0,1
2025,kickoff-returns,120,Craig Reynolds,craig-reynolds,f5zuttg3hinfqgronrsg,23.6,5,118,0,5,0,26,0,0
2025,kickoff-returns,121,Steven Sims,steven-sims,j4wvyoqtwt34h8qamgun,23.6,10,236,0,8,0,31,0,0
2025,kickoff-returns,122,Trayveon Williams,trayveon-williams,zwei0idpruplnhlmpfkr,23.6,9,212,0,9,0,29,0,0
2025,kickoff-returns,123,Jakobie Keeney-James,,,23.5,2,47,0,2,0,26,0,0
2025,kickoff-returns,124,Malachi Corley,malachi-corley,lay1p8pvwrglmqorc6ev,23.4,21,492,0,18,0,33,0,0
2025,kickoff-returns,125,Deven Thompkins,deven-thompkins,hohgyaldfuylxqwnb8i2,23.4,12,281,0,8,1,47,0,0
2025,kickoff-returns,126,Dante Pettis,dante-pettis,xz70t2ahl2ak2q9mqtia,23.4,15,351,0,12,0,32,0,0
2025,kickoff-returns,127,TreVeyon Henderson,treveyon-henderson,ebcjvwytgu2y4kqm8ihv,23.2,9,209,0,9,0,28,0,0
2025,kickoff-returns,128,KeAndre Lambert-Smith,keandre-lambert-smith,xhhzgylwh0ptvpaghnuu,23.2,18,418,0,11,0,34,0,0
2025,kickoff-returns,129,Xavier Smith,xavier-smith,hqvwpitewijx8bjrcofe,23.2,13,301,0,11,0,32,0,0
